Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Singapore,GDP Constant Prices,1994-09-30T00:00:00,34882.3,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1994-12-31T00:00:00,35382.2,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1995-03-31T00:00:00,35198.2,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1995-06-30T00:00:00,36238.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1995-09-30T00:00:00,37818.6,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1995-12-31T00:00:00,38160.3,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1996-03-31T00:00:00,39401.2,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1996-06-30T00:00:00,39360.2,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1996-09-30T00:00:00,39363.4,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1996-12-31T00:00:00,40410.5,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1997-03-31T00:00:00,41632.2,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1997-06-30T00:00:00,43021.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1997-09-30T00:00:00,43704.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1997-12-31T00:00:00,43344.8,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1998-03-31T00:00:00,42219.5,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1998-06-30T00:00:00,41911.6,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1998-09-30T00:00:00,41558.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1998-12-31T00:00:00,42306.8,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1999-03-31T00:00:00,43063,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1999-06-30T00:00:00,44150.8,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1999-09-30T00:00:00,44974,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1999-12-31T00:00:00,45358.3,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2000-03-31T00:00:00,46748.5,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2000-06-30T00:00:00,47718.6,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2000-09-30T00:00:00,49373.8,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2000-12-31T00:00:00,49746.6,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2001-03-31T00:00:00,49305.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
